Near field
"Phi"[deg]	"MLFMM_Sphere2_Scat_Field [dBV/m]"	"Sphere2_Scat_Field [dBV/m]"	
1.34000000E+02	-9.64215984E+00	-1.11635738E+01	
1.34500000E+02	-9.48282761E+00	-1.16663656E+01	
1.35000000E+02	-9.24611780E+00	-1.14770908E+01	
1.35500000E+02	-8.98091170E+00	-1.05845721E+01	
1.36000000E+02	-8.72656102E+00	-9.61810336E+00	
1.36500000E+02	-8.47748807E+00	-9.07115446E+00	
1.37000000E+02	-8.18732284E+00	-9.12136985E+00	
1.37500000E+02	-7.82219343E+00	-9.70591230E+00	
1.38000000E+02	-7.41269640E+00	-1.04050185E+01	
1.38500000E+02	-7.02973931E+00	-1.03681839E+01	
1.39000000E+02	-6.70679944E+00	-9.25138391E+00	
1.39500000E+02	-6.40274586E+00	-7.79240899E+00	
1.40000000E+02	-6.05025105E+00	-6.66518269E+00	
1.40500000E+02	-5.63836551E+00	-6.08632751E+00	
1.41000000E+02	-5.22348857E+00	-6.02219355E+00	
1.41500000E+02	-4.85854946E+00	-6.26074461E+00	
1.42000000E+02	-4.54055444E+00	-6.39300158E+00	
1.42500000E+02	-4.23050005E+00	-6.01420534E+00	
1.43000000E+02	-3.90511189E+00	-5.16286287E+00	
1.43500000E+02	-3.57162055E+00	-4.24667358E+00	
1.44000000E+02	-3.23715279E+00	-3.59425216E+00	
1.44500000E+02	-2.88974202E+00	-3.31461175E+00	
1.45000000E+02	-2.52041058E+00	-3.33309664E+00	
1.45500000E+02	-2.14710653E+00	-3.41105088E+00	
1.46000000E+02	-1.79875832E+00	-3.22981033E+00	
1.46500000E+02	-1.48106175E+00	-2.65260997E+00	
1.47000000E+02	-1.17238725E+00	-1.87197043E+00	
1.47500000E+02	-8.55770259E-01	-1.18579365E+00	
1.48000000E+02	-5.44487277E-01	-7.71756138E-01	
1.48500000E+02	-2.67344156E-01	-6.45108756E-01	
1.49000000E+02	-3.51651940E-02	-6.70907208E-01	
1.49500000E+02	1.69070782E-01	-6.00948189E-01	
1.50000000E+02	3.67771160E-01	-2.27423314E-01	
1.50500000E+02	5.63105535E-01	4.15812196E-01	
1.51000000E+02	7.37747023E-01	1.09278655E+00	
1.51500000E+02	8.75327527E-01	1.57705313E+00	
1.52000000E+02	9.71856347E-01	1.75766975E+00	
1.52500000E+02	1.02788545E+00	1.64324389E+00	
1.53000000E+02	1.03953262E+00	1.35648238E+00	
1.53500000E+02	1.00078178E+00	1.11602348E+00	
1.54000000E+02	9.18050432E-01	1.12670655E+00	
1.54500000E+02	8.12941477E-01	1.40404790E+00	
1.55000000E+02	7.06410599E-01	1.76302289E+00	
1.55500000E+02	5.99326251E-01	1.98880496E+00	
1.56000000E+02	4.72975719E-01	1.95521279E+00	
1.56500000E+02	3.10957615E-01	1.64062386E+00	
1.57000000E+02	1.19741134E-01	1.11771019E+00	
1.57500000E+02	-7.17156023E-02	5.41157775E-01	
1.58000000E+02	-2.32187302E-01	9.42027606E-02	
1.58500000E+02	-3.49038748E-01	-1.28045997E-01	
1.59000000E+02	-4.30229201E-01	-1.92369661E-01	
1.59500000E+02	-4.88564136E-01	-2.55571770E-01	
1.60000000E+02	-5.26532508E-01	-4.47568321E-01	
1.60500000E+02	-5.35513781E-01	-8.21052116E-01	
1.61000000E+02	-5.07687601E-01	-1.35086464E+00	
1.61500000E+02	-4.48208093E-01	-1.93931445E+00	
1.62000000E+02	-3.75476927E-01	-2.41901361E+00	
1.62500000E+02	-3.08783438E-01	-2.58554498E+00	
1.63000000E+02	-2.54722148E-01	-2.30352751E+00	
1.63500000E+02	-2.04858726E-01	-1.62233800E+00	
1.64000000E+02	-1.47483492E-01	-7.47074961E-01	
1.64500000E+02	-8.34221061E-02	9.84709694E-02	
1.65000000E+02	-3.04681696E-02	7.55950965E-01	
1.65500000E+02	-1.11785289E-02	1.13941615E+00	
1.66000000E+02	-3.40317271E-02	1.21921551E+00	
1.66500000E+02	-8.18124660E-02	1.01374433E+00	
1.67000000E+02	-1.14843252E-01	5.93518007E-01	
1.67500000E+02	-8.96128914E-02	8.55310603E-02	
1.68000000E+02	1.51493620E-02	-3.52685965E-01	
1.68500000E+02	1.81854311E-01	-6.11293740E-01	
1.69000000E+02	3.59982899E-01	-6.99807634E-01	
1.69500000E+02	4.88996896E-01	-7.17716849E-01	
1.70000000E+02	5.21392605E-01	-7.59333457E-01	
1.70500000E+02	4.35674649E-01	-8.56790326E-01	
1.71000000E+02	2.39273014E-01	-9.85604357E-01	
1.71500000E+02	-3.50162016E-02	-1.10232028E+00	
1.72000000E+02	-3.36238761E-01	-1.17761433E+00	
1.72500000E+02	-6.04453966E-01	-1.19621738E+00	
1.73000000E+02	-7.81279105E-01	-1.12821858E+00	
1.73500000E+02	-8.22396770E-01	-9.13902618E-01	
1.74000000E+02	-7.11300427E-01	-4.99491930E-01	
1.74500000E+02	-4.69269558E-01	1.00259024E-01	
1.75000000E+02	-1.54561588E-01	7.88869936E-01	
1.75500000E+02	1.48140575E-01	1.44143033E+00	
1.76000000E+02	3.44539811E-01	1.96021654E+00	
1.76500000E+02	3.46507510E-01	2.29375580E+00	
1.77000000E+02	8.48732868E-02	2.43174279E+00	
1.77500000E+02	-4.78980676E-01	2.39497411E+00	
1.78000000E+02	-1.33764923E+00	2.22743596E+00	
1.78500000E+02	-2.41299095E+00	1.98978687E+00	
1.79000000E+02	-3.52610004E+00	1.75115621E+00	
1.79500000E+02	-4.39560966E+00	1.57719139E+00	
1.80000000E+02	-4.72762259E+00	1.51554091E+00	
1.80500000E+02	-4.39134466E+00	1.58345979E+00	
1.81000000E+02	-3.51753581E+00	1.76296222E+00	
1.81500000E+02	-2.39960304E+00	2.00586813E+00	
1.82000000E+02	-1.31850892E+00	2.24631848E+00	
1.82500000E+02	-4.53217346E-01	2.41528924E+00	
1.83000000E+02	1.17666852E-01	2.45244587E+00	
1.83500000E+02	3.85936060E-01	2.31422618E+00	
1.84000000E+02	3.89121288E-01	1.98027058E+00	
1.84500000E+02	1.95192643E-01	1.46127403E+00	
1.85000000E+02	-1.08638338E-01	8.08964148E-01	
1.85500000E+02	-4.28210837E-01	1.21009721E-01	
1.86000000E+02	-6.78004773E-01	-4.78225247E-01	
1.86500000E+02	-7.97869959E-01	-8.93132775E-01	
1.87000000E+02	-7.64808922E-01	-1.10952586E+00	
1.87500000E+02	-5.93907459E-01	-1.18106554E+00	
1.88000000E+02	-3.28757386E-01	-1.16694494E+00	
1.88500000E+02	-2.76909844E-02	-1.09650820E+00	
1.89000000E+02	2.48918676E-01	-9.84513608E-01	
1.89500000E+02	4.49354369E-01	-8.59812523E-01	
1.90000000E+02	5.39721940E-01	-7.65340615E-01	
1.90500000E+02	5.11054786E-01	-7.24820859E-01	
1.91000000E+02	3.82949294E-01	-7.05051559E-01	
1.91500000E+02	2.01231106E-01	-6.10980444E-01	
1.92000000E+02	2.62459422E-02	-3.44113080E-01	
1.92500000E+02	-8.90651422E-02	1.02089663E-01	
1.93000000E+02	-1.22639605E-01	6.15058292E-01	
1.93500000E+02	-9.18578916E-02	1.03649338E+00	
1.94000000E+02	-3.95119821E-02	1.23998399E+00	
1.94500000E+02	-8.25793039E-03	1.15586705E+00	
1.95000000E+02	-2.05588395E-02	7.66500776E-01	
1.95500000E+02	-7.28894060E-02	1.02389466E-01	
1.96000000E+02	-1.44350528E-01	-7.49087201E-01	
1.96500000E+02	-2.13642072E-01	-1.62719884E+00	
1.97000000E+02	-2.73021420E-01	-2.30570075E+00	
1.97500000E+02	-3.28536997E-01	-2.57997201E+00	
1.98000000E+02	-3.88036397E-01	-2.40536111E+00	
1.98500000E+02	-4.49466749E-01	-1.92193867E+00	
1.99000000E+02	-4.99854094E-01	-1.33527437E+00	
1.99500000E+02	-5.24507720E-01	-8.11629136E-01	
2.00000000E+02	-5.17128310E-01	-4.47204604E-01	
2.00500000E+02	-4.81277324E-01	-2.65714700E-01	
2.01000000E+02	-4.22363441E-01	-2.12487645E-01	
2.01500000E+02	-3.38670812E-01	-1.54577417E-01	
2.02000000E+02	-2.21397166E-01	6.76318860E-02	
2.02500000E+02	-6.56986178E-02	5.20329394E-01	
2.03000000E+02	1.17352659E-01	1.10420419E+00	
2.03500000E+02	3.02082620E-01	1.63220910E+00	
2.04000000E+02	4.64223298E-01	1.94832572E+00	
2.04500000E+02	5.96792534E-01	1.98017352E+00	
2.05000000E+02	7.10463746E-01	1.75044782E+00	
2.05500000E+02	8.17826794E-01	1.38733459E+00	
2.06000000E+02	9.17319822E-01	1.10869555E+00	
2.06500000E+02	9.93577664E-01	1.10151657E+00	
2.07000000E+02	1.03165024E+00	1.34844427E+00	
2.07500000E+02	1.02677228E+00	1.64104952E+00	
2.08000000E+02	9.79574461E-01	1.75878647E+00	
2.08500000E+02	8.86552066E-01	1.57874816E+00	
2.09000000E+02	7.42070849E-01	1.09270291E+00	
2.09500000E+02	5.51956680E-01	4.12189425E-01	
2.10000000E+02	3.39765410E-01	-2.35188839E-01	
2.10500000E+02	1.30481325E-01	-6.11773723E-01	
2.11000000E+02	-7.52329282E-02	-6.82904099E-01	
2.11500000E+02	-3.03175004E-01	-6.57062997E-01	
2.12000000E+02	-5.76406669E-01	-7.83124509E-01	
2.12500000E+02	-8.87901431E-01	-1.19579111E+00	
2.13000000E+02	-1.20790866E+00	-1.87894710E+00	
2.13500000E+02	-1.51919238E+00	-2.65454531E+00	
2.14000000E+02	-1.83644378E+00	-3.22681818E+00	
2.14500000E+02	-2.18299197E+00	-3.40738803E+00	
2.15000000E+02	-2.55567790E+00	-3.33388382E+00	
2.15500000E+02	-2.92398309E+00	-3.32172089E+00	
